"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="6265","方土昶","19.25","-2.53","+0.52","-1.03","+10.6","+14.2","+68.9","+79.9","+113","+184","10.8","9.64","8.83","6.74","20.95","20.95","20.95","20.95","0.86","-0.43","-1.26","+1.9"
="6270","倍微","25.5","-1.54","+5.15","+10.4","+12.1","+11.1","+14.3","+25","+16.7","+32.8","21.8","19.8","19.65","18.05","26.05","26.05","26.05","26.2","-0.16","0.99","+0.06","+0.06"
="6271","同欣電","288.5","-1.54","-0.17","-1.03","-1.03","-6.33","+4.15","+26.5","+58.5","+40.4","269.5","208","178","145","323.5","323.5","323.5","323.5","-6.51","-3.16","-0.45","-3.97"
="6275","元山","37.55","+7.13","+8.84","+12.6","+13.6","+12.9","+18.3","+33.4","+22.7","+57.8","30.6","26.5","26.5","22.05","38.45","38.45","38.45","38.45","6.49","5.21","+0.62","+0.37"
="6278","台表科","118.5","-0.42","-1.25","-2.07","+2.16","-0.84","+6.76","+11.3","-2.87","-7.42","111","97.1","97.1","91.1","127.5","127.5","138.5","139","-10.3","-11.4","-0.11","-0.17"
="6282","康舒","34","+0.59","+1.34","+0.59","+5.1","-1.16","-2.58","+28.3","+26.9","+15.4","32.25","26.35","25.05","22.5","39.55","39.55","39.55","39.55","9.09","9.92","+0.14","+0.4"
="6285","啟碁","74.8","+1.49","+2.61","+2.61","+2.19","-1.58","-5.32","+8.25","+7.78","-5.91","72.3","69.2","66.5","58.8","79.3","80.6","81","84.2","-10.8","-13.2","-0.06","-0.01"
="6411","晶焱","271","-1.63","-0.91","-0.37","+1.69","+4.23","+27.2","+61.8","+102","+181","214.5","162","127","94.8","302","302","302","302","1.56","3.06","-3.26","-0.74"
="6443","元晶","41.2","+0.86","+0.49","0","+14.3","+8.28","+2.74","+41.6","+21","+2.87","33.8","27","26.25","26.25","43.1","43.1","43.1","48.95","-5.51","1.13","-7.46","+0.96"
="6446","藥華藥","327.5","+9.9","+12.9","+22.4","+36.5","+67.9","+230","+256","+258","+226","99.8","69","69","69","327.5","327.5","327.5","327.5","-11.2","-12","",""
="6485","點序","154","0","-1.91","-6.67","-6.1","+1.65","+9.61","+6.94","+16.2","+426","141","100","100","29.3","176.5","176.5","191","191","-4.1","-2.53","-0.2","-1.25"
="6505","台塑化","97.5","-0.2","-0.2","+0.52","+0.52","-0.91","-3.94","+1.56","-11","+3.39","95.2","92.5","90.3","88.4","103.5","106","117.5","117.5","-2.99","-8.57","-0.16","-0.16"
="6509","聚和","67.5","+2.43","+4.01","+2.43","+4.65","-2.03","-1.32","+17.2","+124","+151","63.9","50.2","30.25","23.45","76.2","82.9","82.9","82.9","-2.62","-1.76","+1.14","+3.62"
="6603","富強鑫","18.35","-3.67","-4.92","-5.41","-5.66","-5.66","+8.9","+14.3","+48.6","+53.6","16.2","14.3","12.35","10.95","21.2","21.2","21.2","21.2","4.13","-1.02","+0.55","+0.97"
="6706","惠特","219","-0.23","-3.74","-1.35","+6.57","+6.31","+2.1","+10.9","+24.4","+24.8","200","157","157","129.5","235.5","235.5","235.5","235.5","-3.97","4.05","+1.55","+2.48"
="8040","九暘","75.5","-0.92","-2.2","-5.39","-1.95","-2.83","+14.2","+30.2","+57.9","+334","65.5","49.05","47.45","16.15","87.6","87.6","87.6","87.6","-3.1","-1.12","+0.01","-0.51"
="8046","南電","586","+0.17","0","+0.86","-0.68","+1.21","+8.12","+39.4","+68.1","+231","538","388.5","338","167","631","631","631","631","5.4","2.47","-1.46","-1.72"
="8054","安國","64.4","-1.23","-3.3","-7.2","+1.74","-3.45","+20.4","+20.8","+46.5","+189","53","38.6","38.6","19.75","72","72","73.7","73.7","-4.8","-0.45","-0.72","-0.28"
="8069","元太","131.5","-1.13","+1.94","+6.91","+11.4","+6.05","+45.5","+70.1","+105","+212","89.3","64.2","63.2","42","138","138","138","138","0.32","-0.69","+2.01","+2.31"
="8103","瀚荃","49.5","-1.39","0","-1.59","+4.54","+3.12","+2.7","+22.7","+13.8","+53","46","37.75","37.75","31.3","53.7","53.7","53.7","53.7","2.94","6.11","-0.39","-0.44"
="8104","錸寶","69","+5.5","+16","+27.5","+25.9","+38.4","+44.2","+35.3","+42.4","+31.2","46.4","44.2","44.2","41.4","71.5","71.5","71.5","71.5","0.63","0.29","+31.1","+55"
