"代號","名稱","成交","漲跌幅","2日累計漲跌(%)","3日累計漲跌(%)","5日累計漲跌(%)","10日累計漲跌(%)","一個月累計漲跌(%)","三個月累計漲跌(%)","半年累計漲跌(%)","一年累計漲跌(%)","一個月最低股價","三個月最低股價","半年最低股價","一年最低股價","一個月最高股價","三個月最高股價","半年最高股價","一年最高股價","三大法人3日累計買賣超佔成交(%)","三大法人5日累計買賣超佔成交(%)","券資比3日增減","券資比5日增減"
="6488","環球晶","819","+2.12","+0.74","+0.49","+1.36","+1.11","+9.05","-7.46","-3.87","+27","754","708","708","600","885","920","972","972","-14.1","-4.83","-0.7","-0.37"
="6505","台塑化","97","0","+0.21","+1.68","0","-1.82","-4.9","-0.72","-8.92","+4.53","95.2","92.5","90.3","88.4","103.5","106","117.5","117.5","-5.19","-24.6","+0.17","+0.05"
="6530","創威","26.7","-1.84","+7.88","+18.7","+22.2","+19.7","+25.1","+43.5","+41.3","+42","21.2","18.5","18","16.5","29.9","29.9","29.9","29.9","-1.67","-0.73","+0.86","+0.96"
="6533","晶心科","566","+0.89","-2.75","+2.35","+4.04","-7.97","+10.8","+9.27","+26.1","+86.2","504","351.5","351.5","246.5","635","635","642","644","0.03","-2.15","+0.73","+0.82"
="6568","宏觀","351","+7.01","+4.78","+7.01","+11.3","-11.8","+4.78","+14.9","+162","+151","287.5","248.5","132","112","426.5","426.5","426.5","426.5","-4.44","-2.44","",""
="6603","富強鑫","19.65","+1.03","-2.24","-0.25","-3.2","+18","+13.6","+30.6","+57.8","+64.4","16.2","14.3","11.85","10.95","20.7","20.7","20.7","20.7","13.3","9.8","+0.22","+0.12"
="6706","惠特","215","+4.62","+2.87","+2.63","+4.37","+2.63","-3.59","+9.97","+28","+28.7","200","157","157","129.5","232","232","232","233","18.6","14.8","-0.21","-0.3"
="8021","尖點","41.85","+0.84","-1.18","+0.24","+3.85","+1.95","-5.21","0","+8.98","+55.9","39","35.05","35.05","25.65","46.9","46.9","49.5","49.5","8.58","13.2","+0.07","+0.9"
="8040","九暘","77.1","+0.13","-1.78","+7.98","+7.98","+1.31","+21.2","+22","+71","+343","64","49.05","44","16.15","87.6","87.6","87.6","87.6","-1.21","-1.13","+3.38","+3.52"
="8044","網家","133","+1.92","-0.37","-1.85","+0.38","-4.32","-10.1","+23.1","+28.5","+52.2","130.5","106.5","98.7","77.3","155","157.5","157.5","157.5","-20","-13","-1.06","-3.11"
="8046","南電","601","+1.86","-1.15","-3.99","+2.74","+9.67","+13.4","+40.7","+76.2","+249","529","388.5","337","167","631","631","631","631","-7.66","2.71","-2.65","+0.68"
="8054","安國","67.8","+7.11","+3.35","+8.65","+6.6","+4.47","+26.5","+15.3","+50.7","+241","50.8","38.6","38.6","19.75","72","72","73.7","73.7","1.72","0.28","+0.72","+0.35"
="8069","元太","127","+7.63","+4.1","+1.2","+9.01","+8.55","+35.5","+67.5","+97.5","+197","87.3","64.2","60.7","41.85","131","131","131","131","3.51","2.29","+0.9","+0.84"
="8104","錸寶","56.4","+2.92","+10.2","+13.1","+16","+15.2","+17.3","+9.09","+14.3","+7.43","46.4","44.2","44.2","41.4","60.2","60.2","60.7","66.5","-0.35","-0.27","+31","+31"
="8112","至上","44.65","+0.68","-0.67","-0.78","+1.59","+1.48","-1","+3.36","+13","+35.7","42.85","41.35","39.1","33.25","45","46.4","48","49.3","-17.5","21.3","0","-0.06"
="8121","越峰","54.9","+1.67","-0.18","-0.54","+1.86","+2.43","+13.3","+99.6","+241","+198","45.1","27.55","15.55","13.75","58.7","58.7","58.7","58.7","0.66","-2.06","",""
="8163","達方","49.6","+1.95","+5.2","+6.67","+7.48","+15.6","+14","+10.6","+17","+13.1","42.45","38.7","38.7","37.85","50.2","50.2","50.2","52.9","0.24","2.06","+0.86","-0.1"
="8182","加高","57","+0.35","-3.55","-0.35","+1.42","-5.79","+31.5","+11.3","+51.8","+94.9","42.4","40.2","36.2","26.05","64.5","64.5","64.5","64.5","-10.5","-7.81","-0.66","-0.14"
="8183","精星","69.7","+0.43","+1.46","+11.5","+8.06","+25.8","+47.4","+62.5","+61","+256","45.05","34.15","34.15","18","73","73","73","73","-1.37","-1.08","+2.96","+2.45"
="8201","無敵","17","+0.59","-0.29","+0.89","+0.89","-6.59","-3.13","-1.16","+67.5","+70.5","15.95","13.65","9.51","8.74","19.3","19.3","19.3","19.3","-4.07","-0.53","-1.89","-1.84"
="8215","明基材","37.95","+0.53","-2.57","-2.94","+2.99","-2.19","+0.13","-0.39","+42.9","+48.8","35","30.1","24.5","21.15","42.4","42.4","43.5","43.5","-13.1","0.83","-0.81","-0.46"
="8255","朋程","240","+4.12","+0.21","-1.64","+5.49","-9.09","-17.1","+16.5","+115","+121","221.5","182.5","109.5","96.5","293.5","297","297","297","-3.04","-0.39","-0.15","-2.5"
="8261","富鼎","110","+3.29","+0.46","+2.33","+6.8","-3.51","+5.77","+2.33","+64.9","+143","99.7","75.2","63.6","43.1","123","123","137","137","6.25","0.36","-0.09","+0.21"
="8289","泰藝","39.75","-0.5","-5.36","+4.06","+7.58","+8.02","+28","+10.6","+121","+237","29.2","26.2","16.75","11.4","46.2","46.2","46.2","46.2","-1.51","-0.77","+0.67","+0.18"
="8358","金居","76.6","+1.46","+1.73","-0.39","+0.92","-3.16","+2.41","+6.24","+0.52","+69.5","73.7","62.4","62.4","41.6","87.8","87.8","92.9","92.9","-17.1","-11.7","+0.08","+0.29"
="8406","金可-KY","267","-0.56","-0.37","+9.43","+32.2","+43.9","+33.5","+25.9","+55.2","+65.3","176","169","168.5","129","271","271","300","300","10.6","8.6","-3.65","+5.68"
="9904","寶成","32.7","+0.62","+0.62","+2.03","-1.65","-5.76","-3.68","-0.15","-14.1","+3.97","32.05","31.8","31.55","27.85","35.3","35.8","40.5","40.5","-41.6","-41.7","-0.21","-0.42"
